id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
CF000,C,F,952,966,8.33
FC001,F,C,1217,1231,8.33
IF002,I,F,740,781,8.33
GI003,G,I,157,229,8.33
HD004,H,D,55,119,8.33
HE005,H,E,13,47,8.33
FG006,F,G,69,135,8.33
BD007,B,D,438,477,8.33
FE008,F,E,552,592,8.33
IB009,I,B,139,186,8.33
IF010,I,F,1161,1202,8.33
BH011,B,H,710,743,8.33
ID012,I,D,705,790,8.33
BD013,B,D,1340,1379,8.33
CE014,C,E,171,214,8.33
BI015,B,I,77,124,8.33
FC016,F,C,559,573,8.33
HA017,H,A,466,512,8.33
GH018,G,H,723,783,8.33
DE019,D,E,986,1018,8.33
HG020,H,G,277,337,8.33
FG021,F,G,276,342,8.33
IJ022,I,J,1396,1411,8.33
FI023,F,I,128,169,8.33
JA024,J,A,270,305,8.33
BH025,B,H,689,722,8.33
BC026,B,C,1335,1369,8.33
BD027,B,D,1006,1045,8.33
JB028,J,B,1083,1119,8.33
IJ029,I,J,150,165,8.33
FH030,F,H,915,923,8.33
AB031,A,B,374,394,8.33
GI032,G,I,926,998,8.33
HD033,H,D,940,1004,8.33
IJ034,I,J,387,402,8.33
EG035,E,G,1276,1310,8.33
AF036,A,F,8,57,8.33
GH037,G,H,1302,1362,8.33
GI038,G,I,624,696,8.33
FD039,F,D,1025,1095,8.33
EJ040,E,J,166,217,8.33
IE041,I,E,1175,1239,8.33
GF042,G,F,1185,1251,8.33
IC043,I,C,878,906,8.33
FA044,F,A,1287,1336,8.33
AJ045,A,J,790,825,8.33
FC046,F,C,285,299,8.33
JI047,J,I,1113,1128,8.33
BJ048,B,J,471,507,8.33
HB049,H,B,1311,1344,8.33
DC050,D,C,688,758,8.33
HE051,H,E,120,154,8.33
JC052,J,C,1111,1126,8.33
AC053,A,C,140,180,8.33
AC054,A,C,249,289,8.33
FH055,F,H,900,908,8.33
DC056,D,C,696,766,8.33
GB057,G,B,1347,1376,8.33
BH058,B,H,1390,1423,8.33
BE059,B,E,703,726,8.33
