id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
FA000,F,A,779,828,8.33
DH001,D,H,241,305,8.33
AI002,A,I,788,828,8.33
AJ003,A,J,1236,1271,8.33
EC004,E,C,992,1035,8.33
JE005,J,E,1258,1309,8.33
BI006,B,I,857,904,8.33
GD007,G,D,598,618,8.33
HB008,H,B,722,755,8.33
JG009,J,G,707,770,8.33
GC010,G,C,1175,1237,8.33
HG011,H,G,1275,1335,8.33
HC012,H,C,413,428,8.33
DG013,D,G,715,735,8.33
GH014,G,H,875,935,8.33
JD015,J,D,1174,1248,8.33
BI016,B,I,1061,1108,8.33
BC017,B,C,86,120,8.33
JE018,J,E,1349,1400,8.33
BG019,B,G,84,113,8.33
BF020,B,F,1026,1064,8.33
JA021,J,A,571,606,8.33
GA022,G,A,622,656,8.33
ED023,E,D,673,705,8.33
HB024,H,B,829,862,8.33
CE025,C,E,317,360,8.33
AG026,A,G,933,967,8.33
IG027,I,G,1086,1158,8.33
HG028,H,G,343,403,8.33
CE029,C,E,1273,1316,8.33
FA030,F,A,1034,1083,8.33
BD031,B,D,605,644,8.33
AJ032,A,J,235,270,8.33
CI033,C,I,1315,1343,8.33
FG034,F,G,499,565,8.33
JD035,J,D,401,475,8.33
CF036,C,F,1302,1316,8.33
BF037,B,F,1305,1343,8.33
CI038,C,I,516,544,8.33
FD039,F,D,683,753,8.33
BJ040,B,J,1081,1117,8.33
FC041,F,C,705,719,8.33
BI042,B,I,776,823,8.33
DC043,D,C,118,188,8.33
FE044,F,E,492,532,8.33
AC045,A,C,157,197,8.33
GB046,G,B,569,598,8.33
EI047,E,I,816,880,8.33
EJ048,E,J,546,597,8.33
EI049,E,I,450,514,8.33
FJ050,F,J,416,443,8.33
FG051,F,G,975,1041,8.33
FD052,F,D,830,900,8.33
CD053,C,D,659,729,8.33
GH054,G,H,14,74,8.33
BE055,B,E,669,692,8.33
AF056,A,F,920,969,8.33
JB057,J,B,1166,1202,8.33
HA058,H,A,1342,1388,8.33
ID059,I,D,1186,1271,8.33
