id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
FB000,F,B,1109,1147,8.33
BI001,B,I,18,65,8.33
FB002,F,B,1177,1215,8.33
BE003,B,E,23,46,8.33
JC004,J,C,453,468,8.33
HF005,H,F,16,24,8.33
BI006,B,I,1213,1260,8.33
IA007,I,A,110,150,8.33
CH008,C,H,223,238,8.33
FG009,F,G,922,988,8.33
JA010,J,A,607,642,8.33
EJ011,E,J,536,587,8.33
AI012,A,I,372,412,8.33
ID013,I,D,957,1042,8.33
FD014,F,D,103,173,8.33
EG015,E,G,740,774,8.33
DA016,D,A,556,606,8.33
HA017,H,A,423,469,8.33
AG018,A,G,1371,1405,8.33
IB019,I,B,141,188,8.33
BG020,B,G,1300,1329,8.33
GA021,G,A,1233,1267,8.33
BD022,B,D,385,424,8.33
GF023,G,F,970,1036,8.33
CA024,C,A,1274,1314,8.33
DC025,D,C,740,810,8.33
DF026,D,F,62,132,8.33
GJ027,G,J,1,64,8.33
GB028,G,B,73,102,8.33
CA029,C,A,173,213,8.33
AF030,A,F,1291,1340,8.33
FG031,F,G,253,319,8.33
CE032,C,E,318,361,8.33
BG033,B,G,1362,1391,8.33
FB034,F,B,212,250,8.33
CA035,C,A,1139,1179,8.33
AG036,A,G,630,664,8.33
EA037,E,A,1089,1131,8.33
HD038,H,D,87,151,8.33
GC039,G,C,1238,1300,8.33
JD040,J,D,927,1001,8.33
DA041,D,A,530,580,8.33
EB042,E,B,459,482,8.33
AC043,A,C,292,332,8.33
FD044,F,D,71,141,8.33
AI045,A,I,980,1020,8.33
IC046,I,C,1027,1055,8.33
BJ047,B,J,112,148,8.33
AB048,A,B,883,903,8.33
EA049,E,A,779,821,8.33
HG050,H,G,765,825,8.33
BC051,B,C,1362,1396,8.33
BD052,B,D,367,406,8.33
HJ053,H,J,879,908,8.33
HC054,H,C,899,914,8.33
AJ055,A,J,955,990,8.33
BH056,B,H,1250,1283,8.33
CJ057,C,J,933,948,8.33
IE058,I,E,769,833,8.33
IA059,I,A,1183,1223,8.33
