id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
AB000,A,B,347,367,8.33
IH001,I,H,978,1021,8.33
JB002,J,B,1109,1145,8.33
BI003,B,I,790,837,8.33
FH004,F,H,1365,1373,8.33
HG005,H,G,1206,1266,8.33
FD006,F,D,600,670,8.33
EI007,E,I,1303,1367,8.33
CI008,C,I,1256,1284,8.33
CF009,C,F,902,916,8.33
EC010,E,C,1177,1220,8.33
EA011,E,A,1264,1306,8.33
AB012,A,B,28,48,8.33
GC013,G,C,733,795,8.33
BC014,B,C,295,329,8.33
EA015,E,A,794,836,8.33
BE016,B,E,636,659,8.33
IG017,I,G,132,204,8.33
AC018,A,C,425,465,8.33
IB019,I,B,1300,1347,8.33
BD020,B,D,169,208,8.33
HJ021,H,J,264,293,8.33
GJ022,G,J,1272,1335,8.33
BC023,B,C,755,789,8.33
HB024,H,B,756,789,8.33
HB025,H,B,396,429,8.33
CH026,C,H,1272,1287,8.33
FH027,F,H,647,655,8.33
GD028,G,D,498,518,8.33
IB029,I,B,435,482,8.33
EH030,E,H,430,464,8.33
EJ031,E,J,1062,1113,8.33
EG032,E,G,640,674,8.33
AD033,A,D,926,976,8.33
AD034,A,D,203,253,8.33
ID035,I,D,134,219,8.33
GA036,G,A,649,683,8.33
EA037,E,A,553,595,8.33
DI038,D,I,1264,1349,8.33
JB039,J,B,148,184,8.33
BI040,B,I,866,913,8.33
ID041,I,D,270,355,8.33
JG042,J,G,727,790,8.33
BJ043,B,J,1059,1095,8.33
DJ044,D,J,321,395,8.33
DF045,D,F,1065,1135,8.33
GH046,G,H,675,735,8.33
DI047,D,I,758,843,8.33
CD048,C,D,1077,1147,8.33
CE049,C,E,1050,1093,8.33
FI050,F,I,998,1039,8.33
HC051,H,C,454,469,8.33
JF052,J,F,945,972,8.33
EA053,E,A,479,521,8.33
HI054,H,I,641,684,8.33
DI055,D,I,514,599,8.33
AG056,A,G,83,117,8.33
HF057,H,F,109,117,8.33
GD058,G,D,522,542,8.33
EC059,E,C,194,237,8.33
