id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
BJ000,B,J,378,414,8.33
JC001,J,C,444,459,8.33
JH002,J,H,136,165,8.33
ED003,E,D,772,804,8.33
ID004,I,D,610,695,8.33
FI005,F,I,214,255,8.33
CF006,C,F,250,264,8.33
BJ007,B,J,146,182,8.33
AE008,A,E,934,976,8.33
BG009,B,G,561,590,8.33
GE010,G,E,621,655,8.33
BF011,B,F,542,580,8.33
AG012,A,G,434,468,8.33
GI013,G,I,517,589,8.33
GB014,G,B,1137,1166,8.33
HB015,H,B,944,977,8.33
AJ016,A,J,350,385,8.33
IJ017,I,J,334,349,8.33
HG018,H,G,480,540,8.33
JD019,J,D,1075,1149,8.33
BI020,B,I,433,480,8.33
GE021,G,E,1357,1391,8.33
BF022,B,F,933,971,8.33
GE023,G,E,1102,1136,8.33
DH024,D,H,404,468,8.33
IE025,I,E,503,567,8.33
DC026,D,C,1082,1152,8.33
GJ027,G,J,771,834,8.33
GB028,G,B,974,1003,8.33
JA029,J,A,535,570,8.33
DI030,D,I,728,813,8.33
ED031,E,D,1290,1322,8.33
CF032,C,F,37,51,8.33
DG033,D,G,1391,1411,8.33
DG034,D,G,410,430,8.33
ID035,I,D,1350,1435,8.33
GF036,G,F,116,182,8.33
EH037,E,H,1015,1049,8.33
DG038,D,G,20,40,8.33
DC039,D,C,1099,1169,8.33
FH040,F,H,1255,1263,8.33
AJ041,A,J,373,408,8.33
JC042,J,C,472,487,8.33
HA043,H,A,1186,1232,8.33
GE044,G,E,833,867,8.33
JE045,J,E,643,694,8.33
AD046,A,D,1126,1176,8.33
AG047,A,G,188,222,8.33
CB048,C,B,130,164,8.33
ED049,E,D,1020,1052,8.33
HC050,H,C,1286,1301,8.33
DE051,D,E,1276,1308,8.33
JH052,J,H,28,57,8.33
BJ053,B,J,601,637,8.33
DC054,D,C,820,890,8.33
BH055,B,H,919,952,8.33
DG056,D,G,577,597,8.33
FB057,F,B,1205,1243,8.33
DB058,D,B,943,982,8.33
DB059,D,B,941,980,8.33
