id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
JD000,J,D,893,967,8.33
AF001,A,F,1100,1149,8.33
HA002,H,A,688,734,8.33
IC003,I,C,227,255,8.33
AB004,A,B,1145,1165,8.33
EA005,E,A,310,352,8.33
HE006,H,E,682,716,8.33
DC007,D,C,1179,1249,8.33
JA008,J,A,1374,1409,8.33
IA009,I,A,399,439,8.33
HG010,H,G,689,749,8.33
JG011,J,G,370,433,8.33
FC012,F,C,298,312,8.33
JH013,J,H,591,620,8.33
IG014,I,G,1008,1080,8.33
EC015,E,C,921,964,8.33
BA016,B,A,748,768,8.33
IH017,I,H,1203,1246,8.33
AJ018,A,J,1096,1131,8.33
AI019,A,I,612,652,8.33
GE020,G,E,279,313,8.33
GB021,G,B,704,733,8.33
EI022,E,I,296,360,8.33
HF023,H,F,1204,1212,8.33
AC024,A,C,906,946,8.33
BE025,B,E,372,395,8.33
HF026,H,F,324,332,8.33
AC027,A,C,1097,1137,8.33
DB028,D,B,1136,1175,8.33
DF029,D,F,116,186,8.33
CG030,C,G,879,941,8.33
FE031,F,E,319,359,8.33
IA032,I,A,1178,1218,8.33
EA033,E,A,1061,1103,8.33
EF034,E,F,959,999,8.33
ID035,I,D,1100,1185,8.33
DG036,D,G,362,382,8.33
BG037,B,G,586,615,8.33
JD038,J,D,799,873,8.33
BJ039,B,J,900,936,8.33
AE040,A,E,810,852,8.33
FJ041,F,J,315,342,8.33
EF042,E,F,1023,1063,8.33
GF043,G,F,1337,1403,8.33
HI044,H,I,1241,1284,8.33
IG045,I,G,306,378,8.33
IA046,I,A,772,812,8.33
HG047,H,G,771,831,8.33
BF048,B,F,1019,1057,8.33
AD049,A,D,754,804,8.33
GH050,G,H,221,281,8.33
GA051,G,A,384,418,8.33
CG052,C,G,1080,1142,8.33
DI053,D,I,1294,1379,8.33
CF054,C,F,731,745,8.33
EF055,E,F,1289,1329,8.33
AF056,A,F,1371,1420,8.33
HB057,H,B,102,135,8.33
HA058,H,A,968,1014,8.33
FE059,F,E,1341,1381,8.33
