id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
CG000,C,G,1280,1342,8.33
CE001,C,E,660,703,8.33
EJ002,E,J,1296,1347,8.33
HA003,H,A,1115,1161,8.33
CB004,C,B,1276,1310,8.33
AH005,A,H,1209,1255,8.33
GE006,G,E,659,693,8.33
AB007,A,B,585,605,8.33
CG008,C,G,536,598,8.33
DF009,D,F,668,738,8.33
AH010,A,H,709,755,8.33
EH011,E,H,1019,1053,8.33
FB012,F,B,398,436,8.33
JE013,J,E,1295,1346,8.33
CD014,C,D,308,378,8.33
CF015,C,F,187,201,8.33
AB016,A,B,1384,1404,8.33
BI017,B,I,733,780,8.33
HA018,H,A,334,380,8.33
IG019,I,G,285,357,8.33
JB020,J,B,1082,1118,8.33
CA021,C,A,1109,1149,8.33
CE022,C,E,1004,1047,8.33
AE023,A,E,532,574,8.33
HE024,H,E,804,838,8.33
BD025,B,D,1230,1269,8.33
EA026,E,A,133,175,8.33
FA027,F,A,306,355,8.33
CB028,C,B,1340,1374,8.33
AH029,A,H,1188,1234,8.33
EG030,E,G,355,389,8.33
EC031,E,C,407,450,8.33
IH032,I,H,1395,1438,8.33
DH033,D,H,1145,1209,8.33
JA034,J,A,575,610,8.33
EH035,E,H,762,796,8.33
GI036,G,I,710,782,8.33
JG037,J,G,526,589,8.33
IF038,I,F,387,428,8.33
HI039,H,I,881,924,8.33
JC040,J,C,304,319,8.33
CA041,C,A,202,242,8.33
JI042,J,I,1057,1072,8.33
DF043,D,F,1313,1383,8.33
AD044,A,D,989,1039,8.33
GI045,G,I,843,915,8.33
BI046,B,I,1203,1250,8.33
JD047,J,D,610,684,8.33
HE048,H,E,650,684,8.33
JH049,J,H,586,615,8.33
DH050,D,H,601,665,8.33
HC051,H,C,301,316,8.33
AE052,A,E,88,130,8.33
JI053,J,I,197,212,8.33
GH054,G,H,913,973,8.33
BE055,B,E,398,421,8.33
IE056,I,E,758,822,8.33
CG057,C,G,819,881,8.33
GF058,G,F,960,1026,8.33
BH059,B,H,1278,1311,8.33
