id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
GF000,G,F,267,333,8.33
GB001,G,B,808,837,8.33
GC002,G,C,245,307,8.33
HE003,H,E,627,661,8.33
EB004,E,B,811,834,8.33
HC005,H,C,679,694,8.33
BF006,B,F,202,240,8.33
CI007,C,I,761,789,8.33
BC008,B,C,192,226,8.33
GE009,G,E,612,646,8.33
DC010,D,C,44,114,8.33
HF011,H,F,764,772,8.33
ID012,I,D,1117,1202,8.33
HJ013,H,J,74,103,8.33
DA014,D,A,532,582,8.33
HD015,H,D,790,854,8.33
EH016,E,H,1016,1050,8.33
JF017,J,F,946,973,8.33
AG018,A,G,117,151,8.33
GF019,G,F,946,1012,8.33
JF020,J,F,567,594,8.33
DH021,D,H,886,950,8.33
GJ022,G,J,789,852,8.33
JA023,J,A,1,36,8.33
DB024,D,B,981,1020,8.33
CB025,C,B,671,705,8.33
JH026,J,H,940,969,8.33
CE027,C,E,1324,1367,8.33
BA028,B,A,197,217,8.33
FG029,F,G,755,821,8.33
AI030,A,I,199,239,8.33
JF031,J,F,1157,1184,8.33
BI032,B,I,559,606,8.33
CF033,C,F,497,511,8.33
CD034,C,D,1090,1160,8.33
GA035,G,A,500,534,8.33
CD036,C,D,980,1050,8.33
AJ037,A,J,1215,1250,8.33
EC038,E,C,1078,1121,8.33
JA039,J,A,554,589,8.33
GJ040,G,J,513,576,8.33
BF041,B,F,1330,1368,8.33
AI042,A,I,198,238,8.33
GB043,G,B,607,636,8.33
AH044,A,H,660,706,8.33
HD045,H,D,1112,1176,8.33
HC046,H,C,1219,1234,8.33
FC047,F,C,146,160,8.33
ID048,I,D,826,911,8.33
CF049,C,F,816,830,8.33
ED050,E,D,388,420,8.33
EH051,E,H,1110,1144,8.33
GB052,G,B,744,773,8.33
HF053,H,F,989,997,8.33
HE054,H,E,426,460,8.33
CB055,C,B,747,781,8.33
GI056,G,I,995,1067,8.33
HE057,H,E,164,198,8.33
IG058,I,G,840,912,8.33
CD059,C,D,858,928,8.33
