id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
DC000,D,C,886,956,8.33
CA001,C,A,981,1021,8.33
FC002,F,C,116,130,8.33
AG003,A,G,1245,1279,8.33
HE004,H,E,78,112,8.33
DF005,D,F,682,752,8.33
DE006,D,E,235,267,8.33
HF007,H,F,986,994,8.33
ID008,I,D,837,922,8.33
GD009,G,D,354,374,8.33
CH010,C,H,840,855,8.33
IE011,I,E,460,524,8.33
JC012,J,C,515,530,8.33
IF013,I,F,0,41,8.33
AJ014,A,J,172,207,8.33
AJ015,A,J,1237,1272,8.33
IA016,I,A,30,70,8.33
IC017,I,C,684,712,8.33
EA018,E,A,1268,1310,8.33
CF019,C,F,46,60,8.33
BD020,B,D,415,454,8.33
ED021,E,D,1176,1208,8.33
IH022,I,H,1388,1431,8.33
IG023,I,G,961,1033,8.33
AF024,A,F,941,990,8.33
FD025,F,D,966,1036,8.33
CG026,C,G,694,756,8.33
EG027,E,G,45,79,8.33
IB028,I,B,575,622,8.33
JA029,J,A,841,876,8.33
IF030,I,F,1236,1277,8.33
HI031,H,I,777,820,8.33
AH032,A,H,1038,1084,8.33
ID033,I,D,900,985,8.33
FG034,F,G,575,641,8.33
BE035,B,E,836,859,8.33
CE036,C,E,331,374,8.33
HC037,H,C,1048,1063,8.33
GA038,G,A,825,859,8.33
AG039,A,G,1283,1317,8.33
AJ040,A,J,475,510,8.33
JG041,J,G,351,414,8.33
AH042,A,H,248,294,8.33
JD043,J,D,1131,1205,8.33
HG044,H,G,52,112,8.33
CI045,C,I,154,182,8.33
IC046,I,C,343,371,8.33
CJ047,C,J,1388,1403,8.33
CJ048,C,J,1026,1041,8.33
FA049,F,A,261,310,8.33
CF050,C,F,581,595,8.33
DB051,D,B,1240,1279,8.33
EH052,E,H,1042,1076,8.33
BF053,B,F,1323,1361,8.33
AJ054,A,J,938,973,8.33
FD055,F,D,381,451,8.33
FE056,F,E,82,122,8.33
BI057,B,I,217,264,8.33
BC058,B,C,1286,1320,8.33
HJ059,H,J,629,658,8.33
