id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
JH000,J,H,433,462,8.33
EJ001,E,J,399,450,8.33
HI002,H,I,433,476,8.33
IE003,I,E,987,1051,8.33
AH004,A,H,977,1023,8.33
DH005,D,H,788,852,8.33
GE006,G,E,265,299,8.33
AH007,A,H,86,132,8.33
CA008,C,A,153,193,8.33
IH009,I,H,1021,1064,8.33
IE010,I,E,649,713,8.33
AB011,A,B,1181,1201,8.33
IG012,I,G,853,925,8.33
CF013,C,F,901,915,8.33
IH014,I,H,319,362,8.33
HA015,H,A,805,851,8.33
BF016,B,F,1105,1143,8.33
BI017,B,I,974,1021,8.33
HC018,H,C,316,331,8.33
GH019,G,H,632,692,8.33
EA020,E,A,687,729,8.33
IB021,I,B,827,874,8.33
HF022,H,F,421,429,8.33
DI023,D,I,622,707,8.33
BA024,B,A,1357,1377,8.33
HB025,H,B,715,748,8.33
AF026,A,F,1276,1325,8.33
GI027,G,I,195,267,8.33
AC028,A,C,1251,1291,8.33
GE029,G,E,718,752,8.33
AE030,A,E,336,378,8.33
DA031,D,A,457,507,8.33
AH032,A,H,704,750,8.33
ED033,E,D,285,317,8.33
BF034,B,F,134,172,8.33
GF035,G,F,763,829,8.33
AC036,A,C,1238,1278,8.33
BC037,B,C,1220,1254,8.33
AB038,A,B,872,892,8.33
CI039,C,I,1055,1083,8.33
JD040,J,D,528,602,8.33
IB041,I,B,1370,1417,8.33
BF042,B,F,198,236,8.33
AF043,A,F,166,215,8.33
AH044,A,H,783,829,8.33
BF045,B,F,1379,1417,8.33
EC046,E,C,1234,1277,8.33
FA047,F,A,263,312,8.33
BI048,B,I,1303,1350,8.33
EH049,E,H,853,887,8.33
DG050,D,G,942,962,8.33
BD051,B,D,660,699,8.33
BG052,B,G,799,828,8.33
ID053,I,D,1345,1430,8.33
FJ054,F,J,883,910,8.33
DI055,D,I,1268,1353,8.33
AD056,A,D,944,994,8.33
EC057,E,C,1028,1071,8.33
DH058,D,H,1050,1114,8.33
FJ059,F,J,1099,1126,8.33
