id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
IB000,I,B,231,278,8.33
IH001,I,H,877,920,8.33
EF002,E,F,1180,1220,8.33
BE003,B,E,1281,1304,8.33
BE004,B,E,234,257,8.33
BF005,B,F,236,274,8.33
GF006,G,F,561,627,8.33
DG007,D,G,50,70,8.33
DA008,D,A,947,997,8.33
HB009,H,B,1313,1346,8.33
CJ010,C,J,1203,1218,8.33
CI011,C,I,471,499,8.33
CJ012,C,J,323,338,8.33
EI013,E,I,215,279,8.33
EA014,E,A,1192,1234,8.33
EG015,E,G,866,900,8.33
GA016,G,A,311,345,8.33
DH017,D,H,1124,1188,8.33
HI018,H,I,790,833,8.33
IJ019,I,J,1002,1017,8.33
JA020,J,A,98,133,8.33
DG021,D,G,1252,1272,8.33
JI022,J,I,806,821,8.33
HD023,H,D,18,82,8.33
EG024,E,G,129,163,8.33
FD025,F,D,92,162,8.33
EB026,E,B,1249,1272,8.33
GJ027,G,J,700,763,8.33
DC028,D,C,1079,1149,8.33
FD029,F,D,678,748,8.33
GJ030,G,J,914,977,8.33
JE031,J,E,103,154,8.33
HJ032,H,J,854,883,8.33
IJ033,I,J,138,153,8.33
GC034,G,C,1301,1363,8.33
CE035,C,E,1342,1385,8.33
AI036,A,I,1344,1384,8.33
CA037,C,A,155,195,8.33
AB038,A,B,4,24,8.33
DH039,D,H,83,147,8.33
DI040,D,I,891,976,8.33
EH041,E,H,788,822,8.33
FH042,F,H,879,887,8.33
HE043,H,E,721,755,8.33
BE044,B,E,629,652,8.33
HB045,H,B,417,450,8.33
AJ046,A,J,1346,1381,8.33
GJ047,G,J,1336,1399,8.33
CE048,C,E,375,418,8.33
BA049,B,A,584,604,8.33
CH050,C,H,1251,1266,8.33
CH051,C,H,356,371,8.33
CE052,C,E,681,724,8.33
AH053,A,H,624,670,8.33
FB054,F,B,759,797,8.33
EH055,E,H,1006,1040,8.33
JD056,J,D,202,276,8.33
GE057,G,E,1335,1369,8.33
AC058,A,C,418,458,8.33
FI059,F,I,1332,1373,8.33
