id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
FD000,F,D,503,573,8.33
GA001,G,A,876,910,8.33
AF002,A,F,1328,1377,8.33
FA003,F,A,115,164,8.33
GF004,G,F,20,86,8.33
BA005,B,A,427,447,8.33
JA006,J,A,479,514,8.33
DC007,D,C,1101,1171,8.33
AG008,A,G,800,834,8.33
EJ009,E,J,1076,1127,8.33
IF010,I,F,379,420,8.33
CD011,C,D,607,677,8.33
DJ012,D,J,1167,1241,8.33
GB013,G,B,1073,1102,8.33
GB014,G,B,337,366,8.33
CF015,C,F,978,992,8.33
IC016,I,C,1102,1130,8.33
IH017,I,H,1136,1179,8.33
EH018,E,H,432,466,8.33
HC019,H,C,1288,1303,8.33
JI020,J,I,665,680,8.33
BF021,B,F,995,1033,8.33
FC022,F,C,600,614,8.33
AI023,A,I,461,501,8.33
JB024,J,B,829,865,8.33
CB025,C,B,176,210,8.33
JI026,J,I,1385,1400,8.33
JB027,J,B,257,293,8.33
JE028,J,E,917,968,8.33
ED029,E,D,1401,1433,8.33
GA030,G,A,1228,1262,8.33
IJ031,I,J,1298,1313,8.33
CG032,C,G,654,716,8.33
DE033,D,E,988,1020,8.33
HG034,H,G,502,562,8.33
GA035,G,A,1100,1134,8.33
DI036,D,I,1346,1431,8.33
IE037,I,E,194,258,8.33
FE038,F,E,602,642,8.33
AD039,A,D,1010,1060,8.33
IB040,I,B,299,346,8.33
DF041,D,F,857,927,8.33
HA042,H,A,532,578,8.33
CI043,C,I,1070,1098,8.33
AG044,A,G,794,828,8.33
EI045,E,I,171,235,8.33
JI046,J,I,810,825,8.33
EB047,E,B,112,135,8.33
FA048,F,A,991,1040,8.33
IE049,I,E,130,194,8.33
GE050,G,E,673,707,8.33
CB051,C,B,1087,1121,8.33
IA052,I,A,1083,1123,8.33
EF053,E,F,639,679,8.33
JH054,J,H,476,505,8.33
GI055,G,I,1351,1423,8.33
AH056,A,H,1036,1082,8.33
FC057,F,C,703,717,8.33
HI058,H,I,1315,1358,8.33
GC059,G,C,82,144,8.33
