id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
CA000,C,A,1079,1119,8.33
CE001,C,E,82,125,8.33
DC002,D,C,936,1006,8.33
DH003,D,H,1220,1284,8.33
FG004,F,G,52,118,8.33
AD005,A,D,875,925,8.33
HF006,H,F,730,738,8.33
ID007,I,D,810,895,8.33
HA008,H,A,517,563,8.33
CE009,C,E,1127,1170,8.33
BJ010,B,J,90,126,8.33
BI011,B,I,560,607,8.33
AE012,A,E,189,231,8.33
AG013,A,G,508,542,8.33
IC014,I,C,179,207,8.33
AE015,A,E,1204,1246,8.33
GC016,G,C,1025,1087,8.33
GH017,G,H,1345,1405,8.33
JA018,J,A,818,853,8.33
FG019,F,G,525,591,8.33
CE020,C,E,54,97,8.33
FG021,F,G,119,185,8.33
CH022,C,H,381,396,8.33
GA023,G,A,666,700,8.33
GB024,G,B,1362,1391,8.33
FC025,F,C,1163,1177,8.33
FI026,F,I,262,303,8.33
JF027,J,F,828,855,8.33
CE028,C,E,277,320,8.33
DB029,D,B,1220,1259,8.33
IJ030,I,J,743,758,8.33
HJ031,H,J,738,767,8.33
EI032,E,I,339,403,8.33
DA033,D,A,434,484,8.33
BI034,B,I,788,835,8.33
AB035,A,B,909,929,8.33
BG036,B,G,1141,1170,8.33
DH037,D,H,8,72,8.33
JG038,J,G,1162,1225,8.33
GH039,G,H,1354,1414,8.33
JE040,J,E,426,477,8.33
IH041,I,H,271,314,8.33
JE042,J,E,1381,1432,8.33
HD043,H,D,676,740,8.33
IJ044,I,J,929,944,8.33
HA045,H,A,1264,1310,8.33
DB046,D,B,1161,1200,8.33
CG047,C,G,899,961,8.33
CD048,C,D,823,893,8.33
HC049,H,C,1154,1169,8.33
BJ050,B,J,424,460,8.33
EC051,E,C,377,420,8.33
JB052,J,B,1177,1213,8.33
FH053,F,H,218,226,8.33
BA054,B,A,1291,1311,8.33
GB055,G,B,241,270,8.33
FA056,F,A,1041,1090,8.33
CH057,C,H,107,122,8.33
IB058,I,B,1315,1362,8.33
EI059,E,I,853,917,8.33
