id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
BE000,B,E,933,956,8.33
AJ001,A,J,209,244,8.33
HJ002,H,J,1406,1435,8.33
CF003,C,F,563,577,8.33
DF004,D,F,131,201,8.33
EF005,E,F,30,70,8.33
AG006,A,G,1014,1048,8.33
IE007,I,E,224,288,8.33
CD008,C,D,985,1055,8.33
JD009,J,D,838,912,8.33
DC010,D,C,646,716,8.33
HA011,H,A,1224,1270,8.33
BA012,B,A,1146,1166,8.33
GA013,G,A,1290,1324,8.33
CB014,C,B,1323,1357,8.33
EI015,E,I,1179,1243,8.33
IB016,I,B,936,983,8.33
JH017,J,H,1309,1338,8.33
HI018,H,I,1394,1437,8.33
GJ019,G,J,465,528,8.33
BF020,B,F,159,197,8.33
JB021,J,B,32,68,8.33
HG022,H,G,481,541,8.33
JF023,J,F,929,956,8.33
GI024,G,I,1362,1434,8.33
GA025,G,A,1215,1249,8.33
FC026,F,C,79,93,8.33
HI027,H,I,79,122,8.33
EH028,E,H,1290,1324,8.33
CG029,C,G,343,405,8.33
CA030,C,A,279,319,8.33
IB031,I,B,647,694,8.33
FH032,F,H,760,768,8.33
DI033,D,I,345,430,8.33
HJ034,H,J,1155,1184,8.33
CG035,C,G,1367,1429,8.33
FH036,F,H,567,575,8.33
BG037,B,G,698,727,8.33
FJ038,F,J,116,143,8.33
AI039,A,I,1311,1351,8.33
CD040,C,D,458,528,8.33
FC041,F,C,1233,1247,8.33
GF042,G,F,465,531,8.33
GD043,G,D,940,960,8.33
EC044,E,C,1132,1175,8.33
HB045,H,B,1019,1052,8.33
JI046,J,I,701,716,8.33
JI047,J,I,405,420,8.33
FC048,F,C,1356,1370,8.33
GC049,G,C,370,432,8.33
HF050,H,F,350,358,8.33
HA051,H,A,261,307,8.33
AC052,A,C,469,509,8.33
AI053,A,I,898,938,8.33
BA054,B,A,805,825,8.33
IF055,I,F,795,836,8.33
CG056,C,G,1054,1116,8.33
AI057,A,I,1027,1067,8.33
BD058,B,D,97,136,8.33
FE059,F,E,914,954,8.33
