id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
HF000,H,F,1194,1202,8.33
IJ001,I,J,92,107,8.33
GJ002,G,J,552,615,8.33
HB003,H,B,558,591,8.33
JH004,J,H,1298,1327,8.33
BE005,B,E,968,991,8.33
BJ006,B,J,404,440,8.33
EI007,E,I,313,377,8.33
FD008,F,D,629,699,8.33
JD009,J,D,125,199,8.33
BJ010,B,J,1258,1294,8.33
EA011,E,A,458,500,8.33
IB012,I,B,1393,1440,8.33
FE013,F,E,1270,1310,8.33
IH014,I,H,884,927,8.33
BF015,B,F,1399,1437,8.33
FH016,F,H,817,825,8.33
CF017,C,F,32,46,8.33
IC018,I,C,562,590,8.33
HI019,H,I,1153,1196,8.33
AH020,A,H,197,243,8.33
JB021,J,B,1130,1166,8.33
BF022,B,F,990,1028,8.33
AC023,A,C,854,894,8.33
IB024,I,B,1024,1071,8.33
CA025,C,A,956,996,8.33
FJ026,F,J,726,753,8.33
HI027,H,I,1121,1164,8.33
CB028,C,B,1211,1245,8.33
GB029,G,B,686,715,8.33
AJ030,A,J,620,655,8.33
DF031,D,F,450,520,8.33
DF032,D,F,1038,1108,8.33
IG033,I,G,160,232,8.33
DA034,D,A,499,549,8.33
JI035,J,I,160,175,8.33
GI036,G,I,617,689,8.33
EH037,E,H,781,815,8.33
DF038,D,F,166,236,8.33
JC039,J,C,783,798,8.33
JF040,J,F,5,32,8.33
HG041,H,G,256,316,8.33
HC042,H,C,587,602,8.33
DB043,D,B,799,838,8.33
AG044,A,G,916,950,8.33
JF045,J,F,631,658,8.33
BH046,B,H,585,618,8.33
FA047,F,A,611,660,8.33
JC048,J,C,534,549,8.33
GD049,G,D,984,1004,8.33
CF050,C,F,156,170,8.33
JG051,J,G,829,892,8.33
GH052,G,H,577,637,8.33
EI053,E,I,695,759,8.33
DI054,D,I,117,202,8.33
AH055,A,H,1261,1307,8.33
BI056,B,I,913,960,8.33
AH057,A,H,341,387,8.33
BD058,B,D,400,439,8.33
EI059,E,I,459,523,8.33
