id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
IF000,I,F,1200,1241,8.33
AG001,A,G,1157,1191,8.33
IH002,I,H,621,664,8.33
CI003,C,I,1268,1296,8.33
BA004,B,A,14,34,8.33
EF005,E,F,973,1013,8.33
BI006,B,I,494,541,8.33
EB007,E,B,579,602,8.33
HJ008,H,J,518,547,8.33
FB009,F,B,185,223,8.33
GB010,G,B,522,551,8.33
GH011,G,H,263,323,8.33
DB012,D,B,1251,1290,8.33
CA013,C,A,647,687,8.33
JB014,J,B,600,636,8.33
IB015,I,B,211,258,8.33
HA016,H,A,328,374,8.33
ED017,E,D,463,495,8.33
EH018,E,H,199,233,8.33
DC019,D,C,772,842,8.33
GH020,G,H,868,928,8.33
CA021,C,A,1052,1092,8.33
BG022,B,G,362,391,8.33
GJ023,G,J,1248,1311,8.33
CI024,C,I,437,465,8.33
FD025,F,D,205,275,8.33
DE026,D,E,1124,1156,8.33
JB027,J,B,151,187,8.33
HJ028,H,J,809,838,8.33
CA029,C,A,289,329,8.33
EB030,E,B,1323,1346,8.33
GH031,G,H,432,492,8.33
IG032,I,G,1335,1407,8.33
IB033,I,B,706,753,8.33
GD034,G,D,921,941,8.33
HG035,H,G,1166,1226,8.33
GE036,G,E,1238,1272,8.33
IG037,I,G,56,128,8.33
HJ038,H,J,1303,1332,8.33
GF039,G,F,1082,1148,8.33
AJ040,A,J,776,811,8.33
DA041,D,A,405,455,8.33
FA042,F,A,725,774,8.33
GI043,G,I,1257,1329,8.33
HC044,H,C,378,393,8.33
CD045,C,D,181,251,8.33
IF046,I,F,535,576,8.33
EF047,E,F,947,987,8.33
AH048,A,H,551,597,8.33
AJ049,A,J,367,402,8.33
IF050,I,F,903,944,8.33
GI051,G,I,238,310,8.33
AJ052,A,J,424,459,8.33
BF053,B,F,1379,1417,8.33
DB054,D,B,821,860,8.33
BE055,B,E,1194,1217,8.33
JI056,J,I,670,685,8.33
JA057,J,A,1272,1307,8.33
BI058,B,I,145,192,8.33
DB059,D,B,818,857,8.33
