id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
EH000,E,H,109,143,8.33
FB001,F,B,896,934,8.33
EJ002,E,J,381,432,8.33
HG003,H,G,937,997,8.33
IF004,I,F,644,685,8.33
DI005,D,I,675,760,8.33
EG006,E,G,1369,1403,8.33
GD007,G,D,1301,1321,8.33
GJ008,G,J,863,926,8.33
FC009,F,C,1171,1185,8.33
HG010,H,G,612,672,8.33
FH011,F,H,1427,1435,8.33
JE012,J,E,1184,1235,8.33
GA013,G,A,780,814,8.33
BC014,B,C,484,518,8.33
CI015,C,I,605,633,8.33
JG016,J,G,1140,1203,8.33
EF017,E,F,1226,1266,8.33
CE018,C,E,674,717,8.33
FI019,F,I,703,744,8.33
HA020,H,A,330,376,8.33
ID021,I,D,1100,1185,8.33
FH022,F,H,779,787,8.33
FE023,F,E,248,288,8.33
GA024,G,A,357,391,8.33
GB025,G,B,51,80,8.33
HF026,H,F,1150,1158,8.33
EI027,E,I,141,205,8.33
EC028,E,C,1169,1212,8.33
AC029,A,C,1353,1393,8.33
DE030,D,E,1105,1137,8.33
HJ031,H,J,993,1022,8.33
BE032,B,E,1383,1406,8.33
IC033,I,C,482,510,8.33
CJ034,C,J,1235,1250,8.33
BG035,B,G,1074,1103,8.33
JI036,J,I,1402,1417,8.33
EB037,E,B,1013,1036,8.33
EC038,E,C,350,393,8.33
DA039,D,A,344,394,8.33
JA040,J,A,819,854,8.33
ED041,E,D,606,638,8.33
BJ042,B,J,930,966,8.33
HA043,H,A,100,146,8.33
CD044,C,D,839,909,8.33
DH045,D,H,1056,1120,8.33
AI046,A,I,1277,1317,8.33
AC047,A,C,406,446,8.33
EA048,E,A,1056,1098,8.33
BE049,B,E,605,628,8.33
EC050,E,C,1016,1059,8.33
JD051,J,D,189,263,8.33
BC052,B,C,482,516,8.33
CA053,C,A,273,313,8.33
CE054,C,E,140,183,8.33
HC055,H,C,1412,1427,8.33
HE056,H,E,1099,1133,8.33
JF057,J,F,914,941,8.33
CI058,C,I,628,656,8.33
GC059,G,C,691,753,8.33
