id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
AB000,A,B,1203,1223,8.33
FJ001,F,J,887,914,8.33
AI002,A,I,163,203,8.33
GC003,G,C,915,977,8.33
AE004,A,E,776,818,8.33
IB005,I,B,456,503,8.33
EI006,E,I,1192,1256,8.33
DH007,D,H,413,477,8.33
IA008,I,A,1127,1167,8.33
EG009,E,G,1372,1406,8.33
AH010,A,H,744,790,8.33
IF011,I,F,178,219,8.33
FJ012,F,J,451,478,8.33
FA013,F,A,817,866,8.33
DJ014,D,J,99,173,8.33
BG015,B,G,325,354,8.33
FC016,F,C,752,766,8.33
JH017,J,H,1210,1239,8.33
JH018,J,H,149,178,8.33
IG019,I,G,1223,1295,8.33
CJ020,C,J,983,998,8.33
GC021,G,C,642,704,8.33
CI022,C,I,1067,1095,8.33
HI023,H,I,825,868,8.33
HI024,H,I,984,1027,8.33
AE025,A,E,683,725,8.33
EB026,E,B,1141,1164,8.33
HE027,H,E,868,902,8.33
EJ028,E,J,306,357,8.33
HE029,H,E,666,700,8.33
FB030,F,B,1229,1267,8.33
DI031,D,I,436,521,8.33
ID032,I,D,225,310,8.33
IA033,I,A,1240,1280,8.33
JB034,J,B,412,448,8.33
BC035,B,C,224,258,8.33
FA036,F,A,87,136,8.33
GC037,G,C,807,869,8.33
CJ038,C,J,28,43,8.33
HJ039,H,J,865,894,8.33
AI040,A,I,802,842,8.33
HA041,H,A,623,669,8.33
DH042,D,H,101,165,8.33
DF043,D,F,460,530,8.33
BC044,B,C,401,435,8.33
DF045,D,F,682,752,8.33
EC046,E,C,322,365,8.33
DG047,D,G,1063,1083,8.33
CB048,C,B,713,747,8.33
EB049,E,B,913,936,8.33
AH050,A,H,324,370,8.33
ED051,E,D,1374,1406,8.33
FH052,F,H,1052,1060,8.33
FG053,F,G,359,425,8.33
AG054,A,G,1324,1358,8.33
DA055,D,A,894,944,8.33
FD056,F,D,21,91,8.33
GH057,G,H,1276,1336,8.33
HJ058,H,J,1310,1339,8.33
HF059,H,F,1151,1159,8.33
