id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
BF000,B,F,945,983,8.33
CA001,C,A,1348,1388,8.33
EA002,E,A,403,445,8.33
JI003,J,I,663,678,8.33
EG004,E,G,346,380,8.33
EA005,E,A,961,1003,8.33
IG006,I,G,1119,1191,8.33
BH007,B,H,572,605,8.33
FH008,F,H,1018,1026,8.33
AE009,A,E,1086,1128,8.33
JE010,J,E,534,585,8.33
GE011,G,E,426,460,8.33
BH012,B,H,956,989,8.33
EJ013,E,J,977,1028,8.33
HE014,H,E,456,490,8.33
DG015,D,G,791,811,8.33
IH016,I,H,620,663,8.33
CG017,C,G,744,806,8.33
GI018,G,I,603,675,8.33
DJ019,D,J,1062,1136,8.33
EJ020,E,J,45,96,8.33
IG021,I,G,291,363,8.33
AE022,A,E,1393,1435,8.33
IE023,I,E,690,754,8.33
JB024,J,B,167,203,8.33
GA025,G,A,902,936,8.33
BE026,B,E,15,38,8.33
BF027,B,F,1333,1371,8.33
AB028,A,B,846,866,8.33
IG029,I,G,930,1002,8.33
DF030,D,F,946,1016,8.33
FJ031,F,J,602,629,8.33
AC032,A,C,306,346,8.33
JF033,J,F,689,716,8.33
DA034,D,A,1084,1134,8.33
GA035,G,A,660,694,8.33
JC036,J,C,95,110,8.33
BH037,B,H,352,385,8.33
IA038,I,A,1103,1143,8.33
HC039,H,C,1292,1307,8.33
JA040,J,A,104,139,8.33
EB041,E,B,844,867,8.33
EH042,E,H,752,786,8.33
FH043,F,H,1243,1251,8.33
CH044,C,H,545,560,8.33
CE045,C,E,543,586,8.33
IE046,I,E,929,993,8.33
GC047,G,C,591,653,8.33
HC048,H,C,1130,1145,8.33
JG049,J,G,1367,1430,8.33
FB050,F,B,1387,1425,8.33
FI051,F,I,233,274,8.33
BD052,B,D,1173,1212,8.33
HD053,H,D,862,926,8.33
GE054,G,E,1176,1210,8.33
JI055,J,I,729,744,8.33
EI056,E,I,583,647,8.33
HC057,H,C,435,450,8.33
EG058,E,G,560,594,8.33
DE059,D,E,347,379,8.33
