id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
IJ000,I,J,323,338,8.33
AC001,A,C,702,742,8.33
FH002,F,H,322,330,8.33
AG003,A,G,266,300,8.33
DI004,D,I,578,663,8.33
ID005,I,D,783,868,8.33
IF006,I,F,279,320,8.33
HI007,H,I,857,900,8.33
IE008,I,E,1287,1351,8.33
HJ009,H,J,102,131,8.33
AC010,A,C,250,290,8.33
BC011,B,C,985,1019,8.33
FI012,F,I,1085,1126,8.33
CJ013,C,J,777,792,8.33
EI014,E,I,1361,1425,8.33
IG015,I,G,551,623,8.33
IG016,I,G,497,569,8.33
HJ017,H,J,337,366,8.33
EI018,E,I,140,204,8.33
IF019,I,F,587,628,8.33
BG020,B,G,179,208,8.33
EB021,E,B,1118,1141,8.33
JH022,J,H,1084,1113,8.33
BC023,B,C,805,839,8.33
GC024,G,C,34,96,8.33
JI025,J,I,715,730,8.33
GF026,G,F,854,920,8.33
JD027,J,D,161,235,8.33
DC028,D,C,187,257,8.33
HF029,H,F,661,669,8.33
HC030,H,C,418,433,8.33
FD031,F,D,101,171,8.33
EG032,E,G,541,575,8.33
EF033,E,F,613,653,8.33
GA034,G,A,695,729,8.33
DC035,D,C,1012,1082,8.33
AJ036,A,J,885,920,8.33
IB037,I,B,606,653,8.33
CF038,C,F,50,64,8.33
EG039,E,G,988,1022,8.33
GB040,G,B,648,677,8.33
IE041,I,E,703,767,8.33
GI042,G,I,253,325,8.33
DI043,D,I,1145,1230,8.33
HC044,H,C,1317,1332,8.33
IF045,I,F,766,807,8.33
EB046,E,B,729,752,8.33
FI047,F,I,474,515,8.33
IB048,I,B,841,888,8.33
JF049,J,F,977,1004,8.33
HF050,H,F,1275,1283,8.33
GA051,G,A,208,242,8.33
DB052,D,B,1034,1073,8.33
FI053,F,I,1382,1423,8.33
JG054,J,G,330,393,8.33
HF055,H,F,532,540,8.33
AE056,A,E,1081,1123,8.33
BG057,B,G,725,754,8.33
EA058,E,A,292,334,8.33
CB059,C,B,881,915,8.33
