id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
JA000,J,A,647,682,8.33
FD001,F,D,861,931,8.33
HF002,H,F,275,283,8.33
FG003,F,G,403,469,8.33
DB004,D,B,676,715,8.33
FJ005,F,J,1086,1113,8.33
HE006,H,E,114,148,8.33
GC007,G,C,904,966,8.33
JE008,J,E,22,73,8.33
JF009,J,F,1078,1105,8.33
CF010,C,F,940,954,8.33
ID011,I,D,986,1071,8.33
AI012,A,I,1041,1081,8.33
DF013,D,F,223,293,8.33
JB014,J,B,562,598,8.33
DI015,D,I,638,723,8.33
GI016,G,I,725,797,8.33
JE017,J,E,534,585,8.33
FA018,F,A,348,397,8.33
CD019,C,D,1299,1369,8.33
JC020,J,C,249,264,8.33
EA021,E,A,304,346,8.33
HF022,H,F,339,347,8.33
GF023,G,F,1203,1269,8.33
GC024,G,C,503,565,8.33
GI025,G,I,363,435,8.33
FJ026,F,J,1357,1384,8.33
FJ027,F,J,733,760,8.33
CE028,C,E,670,713,8.33
DJ029,D,J,1050,1124,8.33
BJ030,B,J,1289,1325,8.33
GA031,G,A,362,396,8.33
GI032,G,I,693,765,8.33
GD033,G,D,35,55,8.33
IJ034,I,J,241,256,8.33
AF035,A,F,788,837,8.33
GD036,G,D,675,695,8.33
JE037,J,E,465,516,8.33
BD038,B,D,52,91,8.33
GD039,G,D,1133,1153,8.33
EG040,E,G,301,335,8.33
CF041,C,F,788,802,8.33
HC042,H,C,624,639,8.33
FD043,F,D,1248,1318,8.33
EF044,E,F,1214,1254,8.33
BD045,B,D,624,663,8.33
BE046,B,E,1115,1138,8.33
CJ047,C,J,712,727,8.33
FD048,F,D,107,177,8.33
HJ049,H,J,116,145,8.33
JE050,J,E,1248,1299,8.33
GF051,G,F,608,674,8.33
FH052,F,H,283,291,8.33
CB053,C,B,155,189,8.33
EC054,E,C,551,594,8.33
HI055,H,I,1278,1321,8.33
FD056,F,D,338,408,8.33
EC057,E,C,1023,1066,8.33
DC058,D,C,1316,1386,8.33
FH059,F,H,909,917,8.33
