id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
HF000,H,F,713,721,8.33
FB001,F,B,1369,1407,8.33
AG002,A,G,665,699,8.33
BI003,B,I,1065,1112,8.33
DG004,D,G,725,745,8.33
GE005,G,E,1115,1149,8.33
CH006,C,H,261,276,8.33
IH007,I,H,1319,1362,8.33
JA008,J,A,1378,1413,8.33
JG009,J,G,777,840,8.33
GB010,G,B,99,128,8.33
HD011,H,D,611,675,8.33
BE012,B,E,82,105,8.33
JA013,J,A,135,170,8.33
AG014,A,G,52,86,8.33
JD015,J,D,202,276,8.33
AD016,A,D,832,882,8.33
IA017,I,A,908,948,8.33
IH018,I,H,567,610,8.33
IJ019,I,J,231,246,8.33
HJ020,H,J,819,848,8.33
JH021,J,H,975,1004,8.33
AB022,A,B,914,934,8.33
JG023,J,G,723,786,8.33
DA024,D,A,1009,1059,8.33
EH025,E,H,650,684,8.33
DC026,D,C,69,139,8.33
JG027,J,G,155,218,8.33
BC028,B,C,854,888,8.33
GA029,G,A,414,448,8.33
HA030,H,A,1232,1278,8.33
FA031,F,A,1250,1299,8.33
DA032,D,A,34,84,8.33
FH033,F,H,395,403,8.33
AI034,A,I,397,437,8.33
JA035,J,A,202,237,8.33
BJ036,B,J,1084,1120,8.33
FB037,F,B,125,163,8.33
CD038,C,D,736,806,8.33
GF039,G,F,822,888,8.33
BD040,B,D,737,776,8.33
JB041,J,B,1162,1198,8.33
CA042,C,A,1268,1308,8.33
CI043,C,I,1054,1082,8.33
FE044,F,E,122,162,8.33
AD045,A,D,837,887,8.33
GA046,G,A,374,408,8.33
GJ047,G,J,651,714,8.33
IF048,I,F,79,120,8.33
DJ049,D,J,385,459,8.33
EH050,E,H,408,442,8.33
GH051,G,H,800,860,8.33
EC052,E,C,1231,1274,8.33
JA053,J,A,1000,1035,8.33
HG054,H,G,1019,1079,8.33
IB055,I,B,1159,1206,8.33
GH056,G,H,361,421,8.33
AE057,A,E,625,667,8.33
BA058,B,A,942,962,8.33
FD059,F,D,1090,1160,8.33
