id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
GI000,G,I,1212,1284,8.33
HG001,H,G,305,365,8.33
FG002,F,G,436,502,8.33
JB003,J,B,842,878,8.33
EH004,E,H,711,745,8.33
JH005,J,H,1346,1375,8.33
FA006,F,A,675,724,8.33
DJ007,D,J,801,875,8.33
AJ008,A,J,1092,1127,8.33
IJ009,I,J,1070,1085,8.33
AB010,A,B,796,816,8.33
CG011,C,G,1105,1167,8.33
CF012,C,F,542,556,8.33
DE013,D,E,330,362,8.33
GJ014,G,J,1065,1128,8.33
EI015,E,I,989,1053,8.33
EG016,E,G,631,665,8.33
AH017,A,H,955,1001,8.33
JC018,J,C,932,947,8.33
GE019,G,E,1336,1370,8.33
AD020,A,D,179,229,8.33
HC021,H,C,667,682,8.33
DF022,D,F,693,763,8.33
CA023,C,A,1249,1289,8.33
CI024,C,I,207,235,8.33
BA025,B,A,501,521,8.33
HG026,H,G,1322,1382,8.33
AH027,A,H,1231,1277,8.33
GA028,G,A,343,377,8.33
IE029,I,E,1058,1122,8.33
BF030,B,F,1339,1377,8.33
JF031,J,F,946,973,8.33
HB032,H,B,1401,1434,8.33
CJ033,C,J,33,48,8.33
FB034,F,B,994,1032,8.33
AI035,A,I,836,876,8.33
BJ036,B,J,945,981,8.33
IE037,I,E,8,72,8.33
FI038,F,I,601,642,8.33
CJ039,C,J,851,866,8.33
FB040,F,B,205,243,8.33
HB041,H,B,1175,1208,8.33
CB042,C,B,1075,1109,8.33
EF043,E,F,1072,1112,8.33
IH044,I,H,99,142,8.33
GB045,G,B,1225,1254,8.33
DE046,D,E,1320,1352,8.33
IE047,I,E,1349,1413,8.33
BH048,B,H,736,769,8.33
GE049,G,E,895,929,8.33
EI050,E,I,362,426,8.33
DB051,D,B,957,996,8.33
CB052,C,B,378,412,8.33
FA053,F,A,1350,1399,8.33
EI054,E,I,315,379,8.33
CJ055,C,J,445,460,8.33
EH056,E,H,1039,1073,8.33
BG057,B,G,820,849,8.33
EH058,E,H,952,986,8.33
BD059,B,D,367,406,8.33
