id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
BF000,B,F,220,258,8.33
AJ001,A,J,1245,1280,8.33
DJ002,D,J,441,515,8.33
GF003,G,F,719,785,8.33
EF004,E,F,44,84,8.33
DA005,D,A,516,566,8.33
AB006,A,B,94,114,8.33
JF007,J,F,666,693,8.33
HE008,H,E,277,311,8.33
AI009,A,I,86,126,8.33
BJ010,B,J,190,226,8.33
CJ011,C,J,776,791,8.33
HA012,H,A,265,311,8.33
JH013,J,H,1137,1166,8.33
GC014,G,C,880,942,8.33
EG015,E,G,37,71,8.33
AG016,A,G,1084,1118,8.33
AB017,A,B,612,632,8.33
GC018,G,C,1290,1352,8.33
FB019,F,B,178,216,8.33
IA020,I,A,1294,1334,8.33
JF021,J,F,1277,1304,8.33
JB022,J,B,1359,1395,8.33
HG023,H,G,1047,1107,8.33
DI024,D,I,1067,1152,8.33
GF025,G,F,309,375,8.33
FD026,F,D,1345,1415,8.33
JH027,J,H,1033,1062,8.33
DE028,D,E,217,249,8.33
BC029,B,C,990,1024,8.33
FC030,F,C,94,108,8.33
CG031,C,G,1042,1104,8.33
FA032,F,A,925,974,8.33
GH033,G,H,1098,1158,8.33
FD034,F,D,1147,1217,8.33
AB035,A,B,255,275,8.33
HC036,H,C,193,208,8.33
BC037,B,C,499,533,8.33
BI038,B,I,1386,1433,8.33
EC039,E,C,636,679,8.33
BH040,B,H,826,859,8.33
CE041,C,E,1262,1305,8.33
HJ042,H,J,919,948,8.33
BJ043,B,J,27,63,8.33
EC044,E,C,701,744,8.33
DF045,D,F,1110,1180,8.33
DG046,D,G,538,558,8.33
GF047,G,F,764,830,8.33
CH048,C,H,84,99,8.33
BG049,B,G,731,760,8.33
JE050,J,E,255,306,8.33
IF051,I,F,1366,1407,8.33
GC052,G,C,509,571,8.33
GB053,G,B,946,975,8.33
FI054,F,I,305,346,8.33
EF055,E,F,1029,1069,8.33
ED056,E,D,568,600,8.33
BE057,B,E,305,328,8.33
HJ058,H,J,175,204,8.33
DF059,D,F,1256,1326,8.33
