id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
AC000,A,C,404,444,8.33
DH001,D,H,313,377,8.33
AF002,A,F,449,498,8.33
JH003,J,H,1398,1427,8.33
JH004,J,H,111,140,8.33
FB005,F,B,681,719,8.33
DH006,D,H,1156,1220,8.33
DF007,D,F,167,237,8.33
HB008,H,B,313,346,8.33
CE009,C,E,279,322,8.33
JF010,J,F,824,851,8.33
AF011,A,F,1033,1082,8.33
ED012,E,D,665,697,8.33
FA013,F,A,1031,1080,8.33
EJ014,E,J,976,1027,8.33
GF015,G,F,478,544,8.33
FD016,F,D,207,277,8.33
CE017,C,E,143,186,8.33
FH018,F,H,925,933,8.33
CG019,C,G,243,305,8.33
JC020,J,C,1118,1133,8.33
JI021,J,I,1199,1214,8.33
BD022,B,D,297,336,8.33
DF023,D,F,1157,1227,8.33
IA024,I,A,1206,1246,8.33
HI025,H,I,942,985,8.33
IA026,I,A,65,105,8.33
FC027,F,C,203,217,8.33
FJ028,F,J,1160,1187,8.33
AG029,A,G,951,985,8.33
EB030,E,B,1073,1096,8.33
CB031,C,B,156,190,8.33
CJ032,C,J,98,113,8.33
BI033,B,I,897,944,8.33
GC034,G,C,762,824,8.33
IH035,I,H,84,127,8.33
BG036,B,G,410,439,8.33
JG037,J,G,1216,1279,8.33
JA038,J,A,102,137,8.33
CD039,C,D,1326,1396,8.33
CB040,C,B,1344,1378,8.33
EI041,E,I,356,420,8.33
CB042,C,B,404,438,8.33
BH043,B,H,657,690,8.33
HC044,H,C,223,238,8.33
EG045,E,G,545,579,8.33
BA046,B,A,118,138,8.33
AI047,A,I,371,411,8.33
DI048,D,I,557,642,8.33
IJ049,I,J,900,915,8.33
CI050,C,I,368,396,8.33
EJ051,E,J,229,280,8.33
HD052,H,D,1090,1154,8.33
AD053,A,D,1023,1073,8.33
CA054,C,A,326,366,8.33
DC055,D,C,640,710,8.33
EF056,E,F,1273,1313,8.33
IG057,I,G,81,153,8.33
FC058,F,C,926,940,8.33
AI059,A,I,543,583,8.33
