id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
CG000,C,G,633,695,8.33
DJ001,D,J,719,793,8.33
IF002,I,F,778,819,8.33
GC003,G,C,1086,1148,8.33
CI004,C,I,1079,1107,8.33
FE005,F,E,548,588,8.33
FC006,F,C,992,1006,8.33
HG007,H,G,295,355,8.33
JA008,J,A,807,842,8.33
DI009,D,I,378,463,8.33
CD010,C,D,1087,1157,8.33
DC011,D,C,1258,1328,8.33
IE012,I,E,1299,1363,8.33
EH013,E,H,149,183,8.33
CI014,C,I,1049,1077,8.33
CG015,C,G,1004,1066,8.33
FH016,F,H,833,841,8.33
JH017,J,H,622,651,8.33
CF018,C,F,696,710,8.33
HD019,H,D,1180,1244,8.33
FJ020,F,J,404,431,8.33
CJ021,C,J,329,344,8.33
EA022,E,A,1097,1139,8.33
EG023,E,G,451,485,8.33
EB024,E,B,1260,1283,8.33
GA025,G,A,505,539,8.33
EF026,E,F,154,194,8.33
HI027,H,I,306,349,8.33
FA028,F,A,467,516,8.33
ED029,E,D,1145,1177,8.33
BH030,B,H,1069,1102,8.33
IF031,I,F,1163,1204,8.33
ID032,I,D,131,216,8.33
FA033,F,A,899,948,8.33
JF034,J,F,679,706,8.33
FC035,F,C,479,493,8.33
CG036,C,G,812,874,8.33
CI037,C,I,196,224,8.33
GH038,G,H,199,259,8.33
BC039,B,C,461,495,8.33
AH040,A,H,611,657,8.33
BG041,B,G,314,343,8.33
AJ042,A,J,332,367,8.33
AB043,A,B,694,714,8.33
EF044,E,F,240,280,8.33
HJ045,H,J,404,433,8.33
BF046,B,F,865,903,8.33
IA047,I,A,538,578,8.33
HJ048,H,J,367,396,8.33
JB049,J,B,386,422,8.33
ID050,I,D,478,563,8.33
AC051,A,C,1112,1152,8.33
FG052,F,G,303,369,8.33
IG053,I,G,1092,1164,8.33
BH054,B,H,143,176,8.33
IG055,I,G,1058,1130,8.33
GI056,G,I,877,949,8.33
HB057,H,B,1115,1148,8.33
HF058,H,F,82,90,8.33
AG059,A,G,35,69,8.33
