id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
DC000,D,C,747,817,8.33
JC001,J,C,1151,1166,8.33
BF002,B,F,933,971,8.33
CI003,C,I,609,637,8.33
GB004,G,B,869,898,8.33
CA005,C,A,1228,1268,8.33
JA006,J,A,756,791,8.33
FI007,F,I,631,672,8.33
HD008,H,D,1237,1301,8.33
HF009,H,F,848,856,8.33
EH010,E,H,1040,1074,8.33
FB011,F,B,907,945,8.33
BG012,B,G,747,776,8.33
HE013,H,E,470,504,8.33
IB014,I,B,509,556,8.33
CE015,C,E,830,873,8.33
JH016,J,H,239,268,8.33
EB017,E,B,817,840,8.33
FA018,F,A,541,590,8.33
BF019,B,F,870,908,8.33
DA020,D,A,506,556,8.33
EB021,E,B,1311,1334,8.33
AJ022,A,J,701,736,8.33
CI023,C,I,1126,1154,8.33
FB024,F,B,1027,1065,8.33
HC025,H,C,811,826,8.33
FC026,F,C,413,427,8.33
JI027,J,I,619,634,8.33
AI028,A,I,620,660,8.33
GC029,G,C,757,819,8.33
GF030,G,F,37,103,8.33
CJ031,C,J,293,308,8.33
EH032,E,H,1369,1403,8.33
EA033,E,A,1160,1202,8.33
DA034,D,A,1236,1286,8.33
FH035,F,H,183,191,8.33
IF036,I,F,634,675,8.33
FB037,F,B,188,226,8.33
ED038,E,D,203,235,8.33
JH039,J,H,1211,1240,8.33
JH040,J,H,766,795,8.33
IA041,I,A,851,891,8.33
CJ042,C,J,1069,1084,8.33
DE043,D,E,769,801,8.33
DG044,D,G,77,97,8.33
AE045,A,E,1196,1238,8.33
HC046,H,C,1153,1168,8.33
DC047,D,C,1152,1222,8.33
IE048,I,E,1279,1343,8.33
HF049,H,F,1288,1296,8.33
JB050,J,B,1073,1109,8.33
DG051,D,G,1400,1420,8.33
JH052,J,H,891,920,8.33
AD053,A,D,1377,1427,8.33
GB054,G,B,175,204,8.33
AI055,A,I,506,546,8.33
HA056,H,A,737,783,8.33
AB057,A,B,1162,1182,8.33
DJ058,D,J,1251,1325,8.33
JD059,J,D,571,645,8.33
