id_vuelo,origen,destino,minuto_salida,minuto_llegada_programada,velocidad_crucero
BI000,B,I,658,705,8.33
GB001,G,B,1197,1226,8.33
GA002,G,A,1298,1332,8.33
JH003,J,H,337,366,8.33
CI004,C,I,669,697,8.33
AC005,A,C,947,987,8.33
HC006,H,C,797,812,8.33
FA007,F,A,1049,1098,8.33
FJ008,F,J,477,504,8.33
CG009,C,G,744,806,8.33
EI010,E,I,839,903,8.33
IF011,I,F,62,103,8.33
FH012,F,H,507,515,8.33
FC013,F,C,1374,1388,8.33
GE014,G,E,129,163,8.33
GE015,G,E,831,865,8.33
GI016,G,I,649,721,8.33
AF017,A,F,784,833,8.33
FB018,F,B,389,427,8.33
HE019,H,E,682,716,8.33
CJ020,C,J,18,33,8.33
FI021,F,I,106,147,8.33
BH022,B,H,931,964,8.33
EH023,E,H,1181,1215,8.33
CD024,C,D,735,805,8.33
DC025,D,C,806,876,8.33
BJ026,B,J,122,158,8.33
DI027,D,I,49,134,8.33
GJ028,G,J,534,597,8.33
JD029,J,D,1331,1405,8.33
AC030,A,C,1029,1069,8.33
CA031,C,A,136,176,8.33
IJ032,I,J,906,921,8.33
HJ033,H,J,1043,1072,8.33
CE034,C,E,1111,1154,8.33
FB035,F,B,455,493,8.33
JG036,J,G,626,689,8.33
IG037,I,G,399,471,8.33
JH038,J,H,1310,1339,8.33
ID039,I,D,27,112,8.33
FI040,F,I,525,566,8.33
IJ041,I,J,214,229,8.33
IJ042,I,J,422,437,8.33
IA043,I,A,688,728,8.33
EC044,E,C,511,554,8.33
BF045,B,F,37,75,8.33
JG046,J,G,1228,1291,8.33
AI047,A,I,511,551,8.33
JE048,J,E,889,940,8.33
BH049,B,H,696,729,8.33
EF050,E,F,448,488,8.33
AH051,A,H,1298,1344,8.33
DF052,D,F,504,574,8.33
JF053,J,F,775,802,8.33
DC054,D,C,935,1005,8.33
CG055,C,G,849,911,8.33
FA056,F,A,1161,1210,8.33
HJ057,H,J,143,172,8.33
HG058,H,G,235,295,8.33
HC059,H,C,905,920,8.33
